Bureau of Meteorology station number,Location,Latitude,Longitude,Product code,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality,Date,Rainfall category
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,1,1,0.0,0.0,Y,2012-01-01,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,1,2,0.0,0.0,Y,2012-01-02,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,1,3,0.0,0.0,Y,2012-01-03,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,1,4,4.2,1.0,Y,2012-01-04,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,1,5,1.0,1.0,Y,2012-01-05,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,1,6,0.0,0.0,Y,2012-01-06,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,1,7,0.0,0.0,Y,2012-01-07,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,1,8,16.6,1.0,Y,2012-01-08,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,1,9,8.4,1.0,Y,2012-01-09,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,1,10,2.6,1.0,Y,2012-01-10,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,1,11,14.2,1.0,Y,2012-01-11,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,1,12,5.8,1.0,Y,2012-01-12,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,1,13,1.4,1.0,Y,2012-01-13,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,1,14,1.2,1.0,Y,2012-01-14,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,1,15,0.2,1.0,Y,2012-01-15,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,1,16,0.0,0.0,Y,2012-01-16,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,1,17,0.0,0.0,Y,2012-01-17,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,1,18,1.0,1.0,Y,2012-01-18,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,1,19,0.0,0.0,Y,2012-01-19,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,1,20,0.0,1.0,Y,2012-01-20,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,1,21,0.0,0.0,Y,2012-01-21,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,1,22,0.0,0.0,Y,2012-01-22,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,1,23,0.0,0.0,Y,2012-01-23,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,1,24,0.0,0.0,Y,2012-01-24,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,1,25,0.0,0.0,Y,2012-01-25,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,1,26,0.0,0.0,Y,2012-01-26,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,1,27,0.0,1.0,Y,2012-01-27,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,1,28,0.0,0.0,Y,2012-01-28,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,1,29,0.0,0.0,Y,2012-01-29,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,1,30,3.2,1.0,Y,2012-01-30,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,1,31,11.2,1.0,Y,2012-01-31,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,2,1,0.4,1.0,Y,2012-02-01,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,2,2,0.0,0.0,Y,2012-02-02,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,2,3,0.0,0.0,Y,2012-02-03,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,2,4,0.0,0.0,Y,2012-02-04,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,2,5,0.0,0.0,Y,2012-02-05,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,2,6,9.2,1.0,Y,2012-02-06,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,2,7,0.4,1.0,Y,2012-02-07,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,2,8,0.0,0.0,Y,2012-02-08,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,2,9,0.0,0.0,Y,2012-02-09,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,2,10,0.0,0.0,Y,2012-02-10,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,2,11,0.0,0.0,Y,2012-02-11,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,2,12,3.0,1.0,Y,2012-02-12,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,2,13,0.0,0.0,Y,2012-02-13,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,2,14,0.2,1.0,Y,2012-02-14,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,2,15,0.0,0.0,Y,2012-02-15,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,2,16,0.0,0.0,Y,2012-02-16,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,2,17,33.4,1.0,Y,2012-02-17,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,2,18,0.2,1.0,Y,2012-02-18,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,2,19,0.0,0.0,Y,2012-02-19,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,2,20,0.0,0.0,Y,2012-02-20,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,2,21,0.0,0.0,Y,2012-02-21,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,2,22,0.0,0.0,Y,2012-02-22,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,2,23,0.0,0.0,Y,2012-02-23,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,2,24,0.0,0.0,Y,2012-02-24,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,2,25,0.0,0.0,Y,2012-02-25,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,2,26,0.0,0.0,Y,2012-02-26,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,2,27,2.8,1.0,Y,2012-02-27,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,2,28,44.2,1.0,Y,2012-02-28,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,2,29,0.4,1.0,Y,2012-02-29,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,3,1,12.2,1.0,Y,2012-03-01,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,3,2,0.6,1.0,Y,2012-03-02,0
